name,niche,address,state,phone_number,website,result_url
Delah Coffee,coffee shops,"370 4th St, San Francisco, CA 94107, USA",CA,(415) 377-2444,https://delahcoffee.com/order-online/,https://maps.google.com/?cid=10682847123881919373
Caffe Trieste,coffee shops,"601 Vallejo St., San Francisco, CA 94133, USA",CA,(415) 392-6739,https://caffetrieste.com/,https://maps.google.com/?cid=17162634662590724078
Simple Pleasures Cafe,coffee shops,"3434 Balboa St, San Francisco, CA 94121, USA",CA,(415) 387-4022,https://facebook.com/Simple-Pleasures-Cafe-111319895562806,https://maps.google.com/?cid=13828349225651807365
Scullery,coffee shops,"687 Geary St, San Francisco, CA 94102, USA",CA,(415) 440-4497,http://www.scullerysf.com/,https://maps.google.com/?cid=10381799083371853276
The Buena Vista,coffee shops,"2765 Hyde St, San Francisco, CA 94109, USA",CA,(415) 474-5044,http://www.thebuenavista.com/home/home.html,https://maps.google.com/?cid=14927879775871877059
The Coffee Berry SF,coffee shops,"1410 Lombard St, San Francisco, CA 94123, USA",CA,(415) 800-7073,http://thecoffeeberrysf.com/,https://maps.google.com/?cid=5181132708478222499
Sextant Coffee Roasters,coffee shops,"1415 Folsom St, San Francisco, CA 94103, USA",CA,(415) 355-1415,http://sextantcoffee.com/,https://maps.google.com/?cid=16500984014294458956
Flywheel Coffee Roasters,coffee shops,"672 Stanyan St, San Francisco, CA 94117, USA",CA,(415) 682-4023,https://flywheelcoffee.com/,https://maps.google.com/?cid=15746101247581114744
Blue Bottle Coffee,coffee shops,"315 Linden St, San Francisco, CA 94102, USA",CA,(510) 661-3510,https://bluebottlecoffee.com/,https://maps.google.com/?cid=13757888117856636050
Golden Bear Trading Company,coffee shops,"1401 6th Ave, San Francisco, CA 94122, USA",CA,(415) 664-5574,http://goldenbeartrading.com/,https://maps.google.com/?cid=11656752298015740408
Ritual Coffee Roasters,coffee shops,"432b Octavia St, San Francisco, CA 94102, USA",CA,(415) 865-0989,http://ritualcoffee.com/,https://maps.google.com/?cid=10903372771022708750
Ritual Coffee Roasters,coffee shops,"1026 Valencia St, San Francisco, CA 94110, USA",CA,(415) 641-1011,http://ritualcoffee.com/,https://maps.google.com/?cid=7742604836892468051
CoffeeShop,coffee shops,"2761 21st St, San Francisco, CA 94110, USA",CA,(415) 368-3802,https://www.coffeeshopsf.com/,https://maps.google.com/?cid=9445147020976918170
Four Barrel Coffee,coffee shops,"375 Valencia St, San Francisco, CA 94103, USA",CA,(415) 935-0604,http://www.fourbarrelcoffee.com/,https://maps.google.com/?cid=15508552329857280923
The Mill,coffee shops,"736 Divisadero St, San Francisco, CA 94117, USA",CA,(415) 345-1953,http://www.themillsf.com/,https://maps.google.com/?cid=1754822383999794408
Taylor Street Coffee Shop,coffee shops,"375 Taylor St, San Francisco, CA 94102, USA",CA,(415) 567-4031,http://taylor-street-coffee-shop.cafes-city.com/,https://maps.google.com/?cid=2227743258398093537
Doppio Coffee & Brunch,coffee shops,"1551 Mission St, San Francisco, CA 94103, USA",CA,(628) 867-7985,https://doppiosf.com/,https://maps.google.com/?cid=16475263059648961979
Peak Builders & Roofers of San Diego,roofers,"8340 Vickers St K, San Diego, CA 92111, USA",CA,(619) 330-8185,https://peakbuilderssd.com/,https://maps.google.com/?cid=7211608722199357796
Roofing Specialists of San Diego,roofers,"7905 Silverton Ave UNIT 112, San Diego, CA 92126, USA",CA,(858) 922-5903,https://roofingspecialistsofsandiego.com/,https://maps.google.com/?cid=14169631627649556293
Dana Logsdon Roofing & Solar,roofers,"1483 Cuyamaca St, El Cajon, CA 92020, USA",CA,(619) 390-8177,https://www.roofon.com/?utm_source=organic&utm_medium=google_business_profile,https://maps.google.com/?cid=6918272685687178631
Resilient Roofing,roofers,"7950 Dunbrook Rd, San Diego, CA 92126, USA",CA,(619) 501-2138,https://www.resilientroofing.com/,https://maps.google.com/?cid=7474183466246809583
Ascent Roofing San Diego,roofers,"2525 Southport Way ste j, National City, CA 91950, USA",CA,(858) 462-7753,https://www.ascentroofingsd.com/,https://maps.google.com/?cid=17445255266170836967
619 Roofing,roofers,"3930 Oregon St Suite 254, San Diego, CA 92104, USA",CA,(619) 609-0214,https://619roofing.com/,https://maps.google.com/?cid=4151002491094563288
"San Diego Roofing, INC.",roofers,"2811 Adams Ave, San Diego, CA 92116, USA",CA,(619) 280-1000,http://www.sandiegoroofing.com/,https://maps.google.com/?cid=7883508159044240954
The Roof Masters,roofers,"2304 La Mirada Dr, Vista, CA 92081, USA",LA,(619) 943-1087,http://socalroofmasters.com/?utm_campaign=gmb,https://maps.google.com/?cid=6581824322480043161
Atlas Roofing,roofers,"4455 Murphy Canyon Rd #100, San Diego, CA 92123, USA",CA,(866) 303-2912,https://atlasroofingpro.com/service-area/san-diego/?utm_source=google&utm_medium=gbp&utm_campaign=san_diego,https://maps.google.com/?cid=6625628013559534912
Alma Roofing,roofers,"4538 Cass St, San Diego, CA 92109, USA",CA,(619) 693-3670,https://www.almaroofingsd.com/?utm_campaign=gmb,https://maps.google.com/?cid=14478011270056824890
Build Brothers Inc.,roofers,"7765 Arjons Dr, San Diego, CA 92126, USA",CA,(760) 566-7734,http://www.buildbrothersinc.com/,https://maps.google.com/?cid=17565532506978228364
TR Construction,roofers,"9335 Mira Mesa Blvd, San Diego, CA 92126, USA",CA,(858) 537-6490,http://www.tr-construction.com/,https://maps.google.com/?cid=3212280450433969149
