name,niche,address,state,phone_number,website,result_url
Peak Builders & Roofers of San Diego,roofers,"8340 Vickers St K, San Diego, CA 92111, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJe8bZULLvTI4RZCnNkezHFGQ
Roofing Specialists of San Diego,roofers,"7905 Silverton Ave UNIT 112, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ6Wc6jOIG3IARRR8xNOSkpMQ
Dana Logsdon Roofing & Solar,roofers,"1483 Cuyamaca St, El Cajon, CA 92020, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJjQBmKdtU2YARhwWsYVqkAmA
Resilient Roofing,roofers,"7950 Dunbrook Rd, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJiWR0Ooyr3oAR7ye9O0OiuWc
Ascent Roofing San Diego,roofers,"2525 Southport Way ste j, National City, CA 91950, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJAQDwFMZI2YAR5xcgVDz_GfI
619 Roofing,roofers,"3930 Oregon St Suite 254, San Diego, CA 92104, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ667abtUB3IAR2Plzz8VSmzk
"San Diego Roofing, INC.",roofers,"2811 Adams Ave, San Diego, CA 92116, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ-UZd9P1U2YAROsa56-bYZ20
The Roof Masters,roofers,"2304 La Mirada Dr, Vista, CA 92081, United States",LA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ3-WYCUJw3IARmfRya1lWV1s
Atlas Roofing,roofers,"4455 Murphy Canyon Rd #100, San Diego, CA 92123, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ_ah-bc7_24ARQNUXApP18ls
Alma Roofing,roofers,"4538 Cass St, San Diego, CA 92109, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ86tTDlMB3IAROtDW1Yo67Mg
Build Brothers Inc.,roofers,"7765 Arjons Dr, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ1TKfFGt13IARjJgDub9OxfM
TR Construction,roofers,"9335 Mira Mesa Blvd, San Diego, CA 92126, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJSTAI0x3524AR_WsM3wxQlCw
San Diego County Roofing & Solar,roofers,"1761 Hotel Cir S Suite 110, San Diego, CA 92108, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ98GEl4sL3IARaLo9NhDrl-A
Colin's Emergency Roofers,roofers,"6922 Mission Gorge Rd #9030, San Diego, CA 92120, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJF9U-5mRV2YARnYzw4lOSn0o
"Christian Roofing, Inc",roofers,"1226 Greenfield Dr, El Cajon, CA 92021, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJkXknF0tZ2YAR5JmoNGsUXHw
RC Roofing Inc.,roofers,"8360 Clairemont Mesa Blvd STE 105, San Diego, CA 92111, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJf9Wr9Mr_24ARO2KfdBiWJxY
"Premium Roof Services, Inc.",roofers,"659 Grand Ave, Spring Valley, CA 91977, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJwQYEZ4NT2YARoLC2Xf0XzHQ
"Mark Anthony Construction and Roofing, Inc.",roofers,"133 N Pacific St Suite A, San Marcos, CA 92069, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJ_6Yv45gK3IARfW7Bbks1UtU
Preman Roofing-Solar,roofers,"875 34th St, San Diego, CA 92102, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJfYrgyZSq3oARpQG7O2bDJQQ
Exclusively Roofing Inc.,roofers,"4013 Texas St UNIT 4, San Diego, CA 92104, United States",CA,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/maps/place/?q=place_id:ChIJQTODSFVT2YARFWdhIQiqIKo
